Algorithm;Iteration;TimeMs;Manhattan;Fitness;BestPathLength
ACO;1;11.84;55;-76.0000;76
ACO;3;31.89;55;-59.0000;59
ACO;9;83.44;55;-58.0000;58
ACO;15;134.54;55;-58.0000;58
ACO;22;191.57;55;-58.0000;58
ACO;28;241.62;55;-58.0000;58
ACO;34;291.76;55;-58.0000;58
ACO;40;354.56;55;-58.0000;58
ACO;42;418.78;55;-58.0000;58
ACO;48;471.75;55;-58.0000;58
ACO;55;529.70;55;-58.0000;58
ACO;61;580.65;55;-58.0000;58
ACO;67;630.97;55;-58.0000;58
ACO;73;681.45;55;-58.0000;58
ACO;80;739.22;55;-58.0000;58
ACO;87;796.97;55;-58.0000;58
ACO;93;848.48;55;-58.0000;58
ACO;99;899.40;55;-58.0000;58
ACO;105;949.64;55;-58.0000;58
ACO;111;1001.02;55;-58.0000;58
ACO;2;18.39;126;-172.0000;172
ACO;3;28.14;126;-152.0000;152
ACO;7;63.21;126;-139.0000;139
ACO;9;80.66;126;-134.0000;134
ACO;11;98.12;126;-131.0000;131
ACO;17;149.40;126;-131.0000;131
ACO;23;199.75;126;-131.0000;131
ACO;29;252.21;126;-131.0000;131
ACO;35;304.36;126;-131.0000;131
ACO;41;357.05;126;-131.0000;131
ACO;47;408.91;126;-131.0000;131
ACO;48;459.23;126;-131.0000;131
ACO;54;510.44;126;-131.0000;131
ACO;60;560.73;126;-131.0000;131
ACO;66;610.83;126;-131.0000;131
ACO;72;661.97;126;-131.0000;131
ACO;78;713.87;126;-131.0000;131
ACO;84;764.06;126;-131.0000;131
ACO;90;814.48;126;-131.0000;131
ACO;96;865.97;126;-131.0000;131
ACO;102;916.85;126;-131.0000;131
ACO;108;967.77;126;-131.0000;131
ACO;2;22.69;50;-93.0000;93
ACO;5;51.04;50;-68.0000;68
ACO;9;86.47;50;-64.0000;64
ACO;10;95.45;50;-62.0000;62
ACO;16;148.61;50;-59.0000;59
ACO;17;157.82;50;-55.0000;55
ACO;23;208.28;50;-55.0000;55
ACO;30;265.10;50;-55.0000;55
ACO;37;321.88;50;-55.0000;55
ACO;44;379.27;50;-55.0000;55
ACO;50;429.49;50;-55.0000;55
ACO;56;520.09;50;-55.0000;55
ACO;63;576.96;50;-55.0000;55
ACO;69;627.42;50;-55.0000;55
ACO;75;677.97;50;-55.0000;55
ACO;81;733.94;50;-55.0000;55
ACO;88;792.21;50;-55.0000;55
ACO;94;843.03;50;-55.0000;55
ACO;101;900.33;50;-55.0000;55
ACO;108;957.37;50;-55.0000;55
ACO;114;1007.88;50;-55.0000;55
ACO;1;8.90;41;-49.0000;49
ACO;4;36.11;41;-48.0000;48
ACO;5;42.40;41;-47.0000;47
ACO;9;60.89;41;-46.0000;46
ACO;22;114.65;41;-46.0000;46
ACO;34;166.62;41;-46.0000;46
ACO;45;216.71;41;-46.0000;46
ACO;58;269.47;41;-46.0000;46
ACO;70;321.08;41;-46.0000;46
ACO;83;375.19;41;-46.0000;46
ACO;95;428.72;41;-46.0000;46
ACO;107;481.75;41;-46.0000;46
ACO;119;533.50;41;-46.0000;46
ACO;131;586.54;41;-46.0000;46
ACO;135;647.58;41;-46.0000;46
ACO;147;699.23;41;-46.0000;46
ACO;160;752.96;41;-46.0000;46
ACO;174;808.04;41;-46.0000;46
ACO;186;858.45;41;-46.0000;46
ACO;198;910.92;41;-46.0000;46
ACO;210;962.15;41;-46.0000;46
ACO;1;10.62;46;-77.0000;77
ACO;2;20.62;46;-72.0000;72
ACO;8;76.02;46;-72.0000;72
ACO;11;102.43;46;-63.0000;63
ACO;17;155.12;46;-63.0000;63
ACO;21;189.57;46;-55.0000;55
ACO;27;240.17;46;-55.0000;55
ACO;33;305.27;46;-55.0000;55
ACO;35;355.52;46;-55.0000;55
ACO;36;364.43;46;-54.0000;54
ACO;42;419.03;46;-54.0000;54
ACO;48;471.93;46;-54.0000;54
ACO;54;523.86;46;-54.0000;54
ACO;60;574.71;46;-54.0000;54
ACO;66;625.98;46;-54.0000;54
ACO;72;677.15;46;-54.0000;54
ACO;78;728.36;46;-54.0000;54
ACO;84;783.37;46;-54.0000;54
ACO;90;836.11;46;-54.0000;54
ACO;92;854.50;46;-52.0000;52
ACO;98;907.43;46;-52.0000;52
ACO;104;959.67;46;-52.0000;52
ACO;108;1036.48;46;-52.0000;52
ACO;7;62.49;64;-79.0000;79
ACO;9;79.68;64;-73.0000;73
ACO;14;121.68;64;-70.0000;70
ACO;21;179.48;64;-70.0000;70
ACO;27;230.51;64;-70.0000;70
ACO;34;288.77;64;-70.0000;70
ACO;40;342.50;64;-70.0000;70
ACO;46;395.39;64;-70.0000;70
ACO;52;449.41;64;-70.0000;70
ACO;58;500.24;64;-70.0000;70
ACO;64;550.90;64;-70.0000;70
ACO;71;608.27;64;-70.0000;70
ACO;76;695.22;64;-70.0000;70
ACO;82;745.54;64;-70.0000;70
ACO;88;797.05;64;-70.0000;70
ACO;94;847.16;64;-70.0000;70
ACO;100;897.54;64;-70.0000;70
ACO;106;950.78;64;-70.0000;70
ACO;112;1001.10;64;-70.0000;70
ACO;1;9.43;23;-30.0000;30
ACO;7;59.04;23;-29.0000;29
ACO;9;75.24;23;-28.0000;28
ACO;16;128.26;23;-28.0000;28
ACO;23;182.93;23;-28.0000;28
ACO;30;237.30;23;-28.0000;28
ACO;37;294.20;23;-28.0000;28
ACO;44;368.40;23;-28.0000;28
ACO;47;419.03;23;-28.0000;28
ACO;54;476.88;23;-28.0000;28
ACO;60;529.65;23;-28.0000;28
ACO;67;586.54;23;-28.0000;28
ACO;74;639.32;23;-28.0000;28
ACO;82;694.89;23;-28.0000;28
ACO;88;746.41;23;-28.0000;28
ACO;95;798.98;23;-28.0000;28
ACO;102;852.95;23;-28.0000;28
ACO;109;905.75;23;-28.0000;28
ACO;115;960.83;23;-28.0000;28
ACO;24;221.31;23;-40.0000;40
ACO;29;265.34;23;-33.0000;33
ACO;30;274.65;23;-32.0000;32
ACO;34;309.03;23;-29.0000;29
ACO;40;360.24;23;-28.0000;28
ACO;46;412.71;23;-28.0000;28
ACO;52;465.01;23;-28.0000;28
ACO;57;554.12;23;-28.0000;28
ACO;63;606.92;23;-28.0000;28
ACO;69;659.71;23;-28.0000;28
ACO;75;712.06;23;-28.0000;28
ACO;81;763.87;23;-28.0000;28
ACO;87;816.85;23;-28.0000;28
ACO;93;869.02;23;-28.0000;28
ACO;99;921.25;23;-28.0000;28
ACO;105;973.34;23;-28.0000;28
ACO;1;3.03;25;-30.0000;30
ACO;3;8.21;25;-29.0000;29
ACO;31;60.16;25;-29.0000;29
ACO;57;110.23;25;-29.0000;29
ACO;84;161.93;25;-29.0000;29
ACO;101;232.83;25;-29.0000;29
ACO;129;283.03;25;-29.0000;29
ACO;157;334.09;25;-29.0000;29
ACO;184;385.77;25;-29.0000;29
ACO;210;436.34;25;-29.0000;29
ACO;238;487.97;25;-29.0000;29
ACO;267;539.20;25;-29.0000;29
ACO;296;590.77;25;-29.0000;29
ACO;325;642.79;25;-29.0000;29
ACO;354;693.39;25;-29.0000;29
ACO;381;744.70;25;-29.0000;29
ACO;406;796.76;25;-29.0000;29
ACO;429;856.03;25;-29.0000;29
ACO;443;907.55;25;-29.0000;29
ACO;470;959.14;25;-29.0000;29
ACO;1;5.78;48;-58.0000;58
ACO;2;11.28;48;-51.0000;51
ACO;17;62.16;48;-51.0000;51
ACO;33;112.77;48;-51.0000;51
ACO;49;163.36;48;-51.0000;51
ACO;66;215.84;48;-51.0000;51
ACO;82;268.65;48;-51.0000;51
ACO;98;319.79;48;-51.0000;51
ACO;113;370.67;48;-51.0000;51
ACO;131;422.30;48;-51.0000;51
ACO;148;474.32;48;-51.0000;51
