Algorithm;Iteration;TimeMs;Manhattan;Fitness;BestPathLength
Camel;1;15.07;46;25.5556;54
Camel;2;28.93;46;25.5556;54
Camel;3;41.33;46;25.5556;54
Camel;4;55.48;46;25.5556;54
Camel;5;68.61;46;25.5556;54
Camel;6;81.59;46;25.5556;54
Camel;7;95.16;46;25.5556;54
Camel;8;109.42;46;25.5556;54
Camel;9;123.70;46;25.5556;54
Camel;10;137.41;46;25.5556;54
Camel;11;151.55;46;25.5556;54
Camel;12;164.68;46;25.5556;54
Camel;13;177.77;46;25.5556;54
Camel;14;191.99;46;25.5556;54
Camel;15;205.00;46;25.5556;54
Camel;16;218.48;46;25.5556;54
Camel;17;231.64;46;25.5556;54
Camel;18;244.50;46;25.5556;54
Camel;19;261.12;46;26.0377;53
Camel;20;274.87;46;26.0377;53
Camel;21;288.27;46;26.0377;53
Camel;22;302.27;46;26.0377;53
Camel;23;323.95;46;26.0377;53
Camel;24;338.12;46;26.0377;53
Camel;25;350.89;46;26.0377;53
Camel;26;363.83;46;26.0377;53
Camel;27;376.43;46;26.0377;53
Camel;28;390.06;46;26.0377;53
Camel;29;403.09;46;26.0377;53
Camel;30;415.89;46;26.0377;53
Camel;31;429.56;46;26.0377;53
Camel;32;442.38;46;26.0377;53
Camel;33;456.57;46;26.0377;53
Camel;34;471.20;46;26.5385;52
Camel;35;483.46;46;26.5385;52
Camel;36;525.80;46;26.5385;52
Camel;37;542.84;46;26.5385;52
Camel;38;555.72;46;26.5385;52
Camel;39;570.22;46;26.5385;52
Camel;40;583.77;46;26.5385;52
Camel;41;597.27;46;26.5385;52
Camel;42;610.46;46;26.5385;52
Camel;43;624.49;46;26.5385;52
Camel;44;638.21;46;26.5385;52
Camel;45;651.05;46;26.5385;52
Camel;46;664.33;46;26.5385;52
Camel;47;677.31;46;26.5385;52
Camel;48;690.95;46;26.5385;52
Camel;49;704.15;46;26.5385;52
Camel;50;718.44;46;26.5385;52
Camel;51;732.77;46;26.5385;52
Camel;52;745.67;46;26.5385;52
Camel;53;758.43;46;26.5385;52
Camel;54;772.22;46;26.5385;52
Camel;55;786.20;46;26.5385;52
Camel;56;799.05;46;26.5385;52
Camel;57;811.38;46;26.5385;52
Camel;58;825.32;46;26.5385;52
Camel;59;838.44;46;26.5385;52
Camel;60;851.46;46;26.5385;52
Camel;61;864.98;46;26.5385;52
Camel;62;878.59;46;26.5385;52
Camel;63;891.49;46;26.5385;52
Camel;64;905.57;46;26.5385;52
Camel;65;919.43;46;26.5385;52
Camel;66;932.17;46;26.5385;52
Camel;67;944.90;46;26.5385;52
Camel;68;958.68;46;26.5385;52
Camel;69;971.61;46;26.5385;52
Camel;70;985.14;46;26.5385;52
Camel;71;997.74;46;26.5385;52
Camel;72;1011.58;46;26.5385;52
Camel;1;22.68;74;24.6667;90
Camel;2;45.23;74;24.6667;90
Camel;3;69.15;74;24.6667;90
Camel;4;92.60;74;24.6667;90
Camel;5;115.45;74;24.6667;90
Camel;6;139.63;74;24.6667;90
Camel;7;162.16;74;24.6667;90
Camel;8;186.38;74;24.6667;90
Camel;9;208.95;74;24.6667;90
Camel;10;232.38;74;24.6667;90
Camel;11;256.36;74;24.6667;90
Camel;12;277.73;74;25.2273;88
Camel;13;299.84;74;25.2273;88
Camel;14;325.93;74;25.2273;88
Camel;15;346.62;74;25.8140;86
Camel;16;370.32;74;25.8140;86
Camel;17;393.88;74;25.8140;86
Camel;18;417.37;74;25.8140;86
Camel;19;440.80;74;25.8140;86
Camel;20;464.81;74;25.8140;86
Camel;21;485.86;74;25.8140;86
Camel;22;508.14;74;25.8140;86
Camel;23;530.80;74;25.8140;86
Camel;24;557.19;74;25.8140;86
Camel;25;583.90;74;25.8140;86
Camel;26;607.98;74;27.4074;81
Camel;27;632.01;74;27.4074;81
Camel;28;659.46;74;27.4074;81
Camel;29;708.89;74;27.4074;81
Camel;30;731.02;74;27.4074;81
Camel;31;754.83;74;27.4074;81
Camel;32;778.18;74;27.4074;81
Camel;33;802.30;74;27.4074;81
Camel;34;823.35;74;27.4074;81
Camel;35;849.35;74;27.4074;81
Camel;36;870.87;74;27.4074;81
Camel;37;894.80;74;27.4074;81
Camel;38;918.76;74;27.4074;81
Camel;39;944.83;74;27.4074;81
Camel;40;968.75;74;27.4074;81
Camel;41;993.65;74;27.4074;81
Camel;42;1017.54;74;27.4074;81
Camel;1;19.82;61;22.3171;82
Camel;2;40.18;61;22.3171;82
Camel;3;94.72;61;22.3171;82
Camel;4;134.39;61;22.3171;82
Camel;5;158.25;61;22.3171;82
Camel;6;220.65;61;22.3171;82
Camel;7;265.42;61;22.3171;82
Camel;8;301.27;61;22.3171;82
Camel;9;429.59;61;22.3171;82
Camel;10;484.59;61;22.3171;82
Camel;11;541.94;61;22.3171;82
Camel;12;574.48;61;22.3171;82
Camel;13;621.01;61;22.3171;82
Camel;14;675.24;61;22.3171;82
Camel;15;698.97;61;22.3171;82
Camel;16;732.63;61;22.3171;82
Camel;17;794.86;61;22.3171;82
Camel;18;929.70;61;22.3171;82
Camel;19;971.16;61;22.3171;82
Camel;20;1024.95;61;22.3171;82
Camel;1;3.64;19;24.7826;23
Camel;3;9.78;19;24.7826;23
Camel;5;16.42;19;24.7826;23
Camel;7;22.94;19;24.7826;23
Camel;9;30.12;19;24.7826;23
Camel;11;36.42;19;24.7826;23
Camel;13;42.95;19;24.7826;23
Camel;15;48.96;19;24.7826;23
Camel;17;55.33;19;24.7826;23
Camel;19;61.97;19;24.7826;23
Camel;21;68.07;19;24.7826;23
Camel;23;74.21;19;24.7826;23
Camel;25;81.17;19;24.7826;23
Camel;27;88.47;19;24.7826;23
Camel;29;94.84;19;24.7826;23
Camel;31;102.19;19;24.7826;23
Camel;33;108.63;19;24.7826;23
Camel;35;115.60;19;24.7826;23
Camel;37;122.76;19;24.7826;23
Camel;39;129.24;19;24.7826;23
Camel;41;136.16;19;24.7826;23
Camel;43;142.53;19;24.7826;23
Camel;45;148.74;19;24.7826;23
Camel;47;155.02;19;24.7826;23
Camel;49;162.32;19;24.7826;23
Camel;51;169.33;19;24.7826;23
Camel;53;176.35;19;24.7826;23
Camel;55;184.73;19;24.7826;23
Camel;56;190.27;19;24.7826;23
Camel;57;195.32;19;24.7826;23
Camel;59;203.03;19;24.7826;23
Camel;61;210.56;19;24.7826;23
Camel;63;217.94;19;24.7826;23
Camel;65;224.54;19;24.7826;23
Camel;67;231.98;19;24.7826;23
Camel;69;238.53;19;24.7826;23
Camel;71;245.25;19;24.7826;23
Camel;73;251.67;19;24.7826;23
Camel;75;258.71;19;24.7826;23
Camel;76;277.57;19;24.7826;23
Camel;77;284.09;19;24.7826;23
Camel;78;290.27;19;24.7826;23
Camel;79;295.43;19;24.7826;23
Camel;81;303.14;19;24.7826;23
Camel;83;309.81;19;24.7826;23
Camel;85;316.28;19;24.7826;23
Camel;87;322.81;19;24.7826;23
Camel;89;328.86;19;24.7826;23
Camel;91;335.73;19;24.7826;23
Camel;93;341.97;19;24.7826;23
Camel;95;348.07;19;24.7826;23
Camel;97;354.72;19;24.7826;23
Camel;99;361.37;19;24.7826;23
Camel;101;367.37;19;24.7826;23
Camel;103;373.41;19;24.7826;23
Camel;105;379.85;19;24.7826;23
Camel;107;386.18;19;24.7826;23
Camel;109;392.18;19;24.7826;23
Camel;111;399.16;19;24.7826;23
Camel;113;405.71;19;24.7826;23
Camel;115;412.10;19;24.7826;23
Camel;117;418.32;19;24.7826;23
Camel;119;424.58;19;24.7826;23
Camel;121;431.04;19;24.7826;23
Camel;123;437.29;19;24.7826;23
Camel;125;443.40;19;24.7826;23
Camel;127;449.64;19;24.7826;23
Camel;129;455.89;19;24.7826;23
Camel;131;462.05;19;24.7826;23
Camel;133;468.27;19;24.7826;23
Camel;135;474.71;19;24.7826;23
Camel;137;481.26;19;24.7826;23
Camel;139;487.46;19;24.7826;23
Camel;141;493.94;19;24.7826;23
Camel;143;500.41;19;24.7826;23
Camel;145;506.85;19;24.7826;23
Camel;147;513.02;19;24.7826;23
Camel;149;519.30;19;24.7826;23
Camel;151;525.30;19;24.7826;23
Camel;153;532.47;19;24.7826;23
Camel;155;538.79;19;24.7826;23
Camel;157;544.80;19;24.7826;23
Camel;159;551.24;19;24.7826;23
Camel;161;557.59;19;24.7826;23
Camel;163;564.35;19;24.7826;23
Camel;165;570.30;19;24.7826;23
Camel;167;576.96;19;24.7826;23
Camel;169;583.29;19;24.7826;23
Camel;171;589.44;19;24.7826;23
Camel;173;595.89;19;24.7826;23
Camel;175;602.35;19;24.7826;23
Camel;177;608.69;19;24.7826;23
Camel;179;614.73;19;24.7826;23
Camel;181;621.65;19;24.7826;23
Camel;183;628.04;19;24.7826;23
Camel;185;633.95;19;24.7826;23
Camel;187;640.04;19;24.7826;23
Camel;189;646.53;19;24.7826;23
Camel;191;655.82;19;24.7826;23
Camel;192;664.70;19;24.7826;23
Camel;193;676.67;19;24.7826;23
Camel;194;700.06;19;24.7826;23
Camel;196;707.12;19;24.7826;23
Camel;198;713.42;19;24.7826;23
Camel;200;719.57;19;24.7826;23
Camel;202;726.39;19;24.7826;23
Camel;204;732.42;19;24.7826;23
Camel;206;738.56;19;24.7826;23
Camel;208;744.62;19;24.7826;23
Camel;210;751.08;19;24.7826;23
Camel;212;757.49;19;24.7826;23
Camel;214;763.94;19;24.7826;23
Camel;216;769.74;19;24.7826;23
Camel;218;775.67;19;24.7826;23
Camel;220;782.03;19;24.7826;23
Camel;222;788.38;19;24.7826;23
Camel;224;794.91;19;24.7826;23
Camel;226;801.15;19;24.7826;23
Camel;228;807.20;19;24.7826;23
Camel;230;814.09;19;24.7826;23
Camel;232;820.43;19;24.7826;23
Camel;234;826.71;19;24.7826;23
Camel;236;833.58;19;24.7826;23
Camel;238;839.95;19;24.7826;23
Camel;240;846.53;19;24.7826;23
Camel;242;852.57;19;24.7826;23
Camel;244;858.82;19;24.7826;23
Camel;246;864.87;19;24.7826;23
Camel;248;871.00;19;24.7826;23
Camel;250;877.40;19;24.7826;23
Camel;252;884.09;19;24.7826;23
Camel;254;890.81;19;24.7826;23
Camel;256;897.17;19;24.7826;23
Camel;258;903.92;19;24.7826;23
Camel;260;910.49;19;24.7826;23
Camel;262;916.98;19;24.7826;23
Camel;264;923.25;19;24.7826;23
Camel;266;929.43;19;24.7826;23
Camel;268;936.60;19;24.7826;23
Camel;270;942.94;19;24.7826;23
Camel;272;948.97;19;24.7826;23
Camel;274;955.62;19;24.7826;23
Camel;276;961.59;19;24.7826;23
Camel;278;968.07;19;24.7826;23
Camel;280;974.39;19;24.7826;23
Camel;282;980.42;19;24.7826;23
Camel;284;986.42;19;24.7826;23
Camel;286;992.36;19;24.7826;23
Camel;288;999.11;19;24.7826;23
Camel;1;3.35;16;24.0000;20
Camel;3;8.99;16;24.0000;20
Camel;5;15.20;16;24.0000;20
Camel;7;21.03;16;24.0000;20
Camel;9;26.43;16;24.0000;20
Camel;11;32.44;16;24.0000;20
Camel;13;38.11;16;24.0000;20
Camel;15;43.81;16;24.0000;20
Camel;17;49.31;16;24.0000;20
Camel;19;54.88;16;24.0000;20
Camel;21;60.53;16;24.0000;20
Camel;23;66.17;16;24.0000;20
Camel;25;71.61;16;24.0000;20
Camel;27;77.25;16;24.0000;20
Camel;29;82.86;16;24.0000;20
Camel;31;88.29;16;24.0000;20
Camel;33;93.75;16;24.0000;20
Camel;35;99.34;16;24.0000;20
Camel;37;104.83;16;24.0000;20
Camel;39;111.64;16;24.0000;20
Camel;41;117.27;16;24.0000;20
Camel;43;122.82;16;24.0000;20
Camel;45;128.58;16;24.0000;20
Camel;47;134.45;16;24.0000;20
Camel;49;140.19;16;24.0000;20
Camel;51;146.65;16;24.0000;20
Camel;53;152.66;16;24.0000;20
Camel;55;158.56;16;24.0000;20
Camel;57;164.18;16;24.0000;20
Camel;59;169.77;16;24.0000;20
Camel;61;175.76;16;24.0000;20
Camel;63;181.31;16;24.0000;20
Camel;65;186.94;16;24.0000;20
Camel;67;192.34;16;24.0000;20
Camel;69;198.19;16;24.0000;20
Camel;71;204.20;16;24.0000;20
Camel;73;209.70;16;24.0000;20
Camel;75;215.16;16;24.0000;20
Camel;77;221.43;16;24.0000;20
Camel;79;227.38;16;24.0000;20
Camel;81;233.49;16;24.0000;20
Camel;83;239.25;16;24.0000;20
Camel;85;245.57;16;24.0000;20
Camel;87;251.80;16;24.0000;20
Camel;89;257.56;16;24.0000;20
Camel;91;263.76;16;24.0000;20
Camel;93;269.69;16;24.0000;20
Camel;95;276.04;16;24.0000;20
Camel;97;281.60;16;24.0000;20
Camel;99;287.51;16;24.0000;20
Camel;101;293.10;16;24.0000;20
Camel;103;298.90;16;24.0000;20
Camel;105;311.80;16;24.0000;20
Camel;106;324.02;16;24.0000;20
Camel;107;345.09;16;24.0000;20
Camel;109;350.54;16;24.0000;20
Camel;111;356.14;16;24.0000;20
Camel;113;361.84;16;24.0000;20
Camel;115;367.30;16;24.0000;20
Camel;117;373.54;16;24.0000;20
Camel;119;378.97;16;24.0000;20
Camel;121;384.77;16;24.0000;20
Camel;123;390.30;16;24.0000;20
Camel;125;395.76;16;24.0000;20
Camel;127;401.60;16;24.0000;20
Camel;129;407.02;16;24.0000;20
Camel;131;412.66;16;24.0000;20
Camel;133;417.94;16;24.0000;20
Camel;135;423.97;16;24.0000;20
Camel;137;429.71;16;24.0000;20
Camel;139;435.32;16;24.0000;20
Camel;141;441.67;16;24.0000;20
Camel;143;446.98;16;24.0000;20
Camel;145;453.05;16;24.0000;20
Camel;147;458.76;16;24.0000;20
Camel;149;464.41;16;24.0000;20
Camel;151;470.14;16;24.0000;20
Camel;153;475.86;16;24.0000;20
Camel;155;481.36;16;24.0000;20
Camel;157;486.94;16;24.0000;20
Camel;159;492.11;16;24.0000;20
Camel;161;497.55;16;24.0000;20
Camel;163;503.08;16;24.0000;20
Camel;165;508.60;16;24.0000;20
Camel;167;514.23;16;24.0000;20
Camel;169;520.08;16;24.0000;20
Camel;171;525.63;16;24.0000;20
Camel;173;534.21;16;24.0000;20
Camel;174;539.23;16;24.0000;20
Camel;176;546.17;16;24.0000;20
Camel;178;551.89;16;24.0000;20
Camel;180;557.64;16;24.0000;20
Camel;182;563.59;16;24.0000;20
Camel;184;569.26;16;24.0000;20
Camel;186;574.89;16;24.0000;20
Camel;188;580.72;16;24.0000;20
Camel;190;586.09;16;24.0000;20
Camel;192;591.63;16;24.0000;20
Camel;194;597.80;16;24.0000;20
Camel;196;603.70;16;24.0000;20
Camel;198;609.34;16;24.0000;20
